label,text
0,"- Awww, c'est un bummer. Tu devrais avoir david carr du troisième jour pour le faire. ;ré"
0,"Est contrarié qu'il ne puisse pas mettre à jour son facebook en le télémaignant ... et peut-être pleurer en conséquence, l'école aujourd'hui aussi. blabla!"
0,J'ai plongé plusieurs fois pour la balle. A réussi à économiser 50% le reste sort de limites
0,Tout mon corps a des démangeaisons et comme si c'était en feu
0,"Non, il ne se comporte pas du tout. je suis en colère. pourquoi suis-je ici? Parce que je ne peux pas vous voir partout."
0,Pas l'équipage complet
0,besoin d'un câlin
0,"Bonjour pas de vue! Oui ... pleut un peu, juste un peu lol, je vais bien merci, comment ça va?"
0,"Non, ils ne l'avaient pas"
0,Je meurs?
0,Vacances de printemps en ville ordinaire ... il neige
0,Je viens de perdre mes oreilles
0,Je ne pouvais pas supporter de le regarder. Et je pensais que la perte de l'ua était embarrassante. . . . .
0,"Ça compte, idk pourquoi je l'ai fait non plus. Tu ne me parles plus"
0,"J'aurais été le premier, mais je n'avais pas d'arme à feu. Pas vraiment, zac snyder est juste une doucheclown."
0,J'aimerais que je le regarde avec vous !! Tu me manques et comment était la première?
0,La scène de la mort de Hollis va humer sévèrement de regarder le film en train de se débrouiller.
0,Sur le point de déposer des taxes
0,Ahh ive toujours voulu voir le loyer adorer la bande originale !!
0,Oh cher. Est-ce que vous buviez des boissons de table oubliées?
0,J'étais dehors la plupart du temps donc je n'ai pas beaucoup fait
0,Un de mes amis m'a appelé et a demandé de la rencontrer à la mi-vallée aujourd'hui ... mais je n'ai pas le temps * soupir *
0,"Je vous ai cuisiné un gâteau, mais je l'ai appris"
0,Cette semaine ne va pas comme je l'avais espéré
0,classe blagh demain à 8
0,Je déteste quand je dois appeler et réveiller les gens
0,Je vais me crier après avoir regardé Marley et moi.
0,Je suis triste maintenant miss.lilly
0,"Ooooh .... lol que leslie .... et ok je ne le refuserai pas, donc leslie ne va pas se fâcher de nouveau"
0,Meh ... presque l'amant est l'exception ... cette piste me déprime à chaque fois.
0,Some1 piraté mon compte sur le but maintenant je dois en créer un nouveau
0,"Je veux aller pour promouvoir l'engrenage et le sillon, mais malheureusement, je ne vais pas là-bas. Je pourrais aller à celui d'Anaheim en mai"
0,Pensé dormir dans était une option demain mais en réalisant que ce n'est pas le cas maintenant. Les évaluations le matin et le travail dans l'après-midi!
0,"Crainte que je vous aime aussi !!!! Je suis ici, je vous manque"
0,Je pleure mes yeux asiatiques pour dormir la nuit
0,"Ok, je suis malade et j'ai passé une heure assise dans la douche parce que j'étais trop malade pour supporter et retenir le puke comme un champion. au lit maintenant"
0,Je vous raconte l'histoire plus tard pas une bonne journée et je travaillerai comme trois heures de plus ...
0,Pardon! Le temps de coucher est venu ici (gmt + 1)
0,Je ne le fais pas non plus. c'est déprimant. Je ne pense pas que je voulais même savoir sur les enfants dans les valises.
0,lit. Classe 8-12. Travail 12-3. Gymnase 3-5 ou 6. puis classe 6-10. Un autre jour qui va passer. ma petite amie me manque
0,Je n'ai vraiment pas envie de me lever aujourd'hui ... mais je dois étudier pour un examen pratique de demain ...
0,"Il est la raison de la larme sur ma guitare, le seul qui a assez de moi pour me casser"
0,"triste triste triste. Je ne sais pas pourquoi, mais je déteste ce sentiment, je veux dormir et je ne peux toujours pas!"
0,"Awww, je souhaite que j'étais là pour vous voir enfin à l'aise! Je suis triste que je l'ai manqué"
0,s'endormir. Vient d'entendre parler du corps de cette fille de tracy. Quelle est la tristeté de mes familles pour cette famille.
0,Yay! Je suis heureux pour vous avec votre travail! Mais cela signifie aussi moins de temps pour moi et vous ...
0,"J'ai juste vérifié mon chronologie de l'utilisateur sur mon Blackberry, il semble que le twanking est toujours en train de se produire. Ppl a-t-il encore des problèmes avec wgs / wgs?"
0,Oh mec ... était le top préféré de repasser à porter à une réunion. L'a brûlé
0,Est étrangement triste de voir lilo et Samro se séparer.
0,"Oh! Je suis tellement désolé, je n'ai pas réfléchi avant de retweeter."
0,"Plan large bande ""une énorme promesse brisée"" via www.diigo.com/~tautao toujours en attente de haut débit, nous sommes"
0,"Wow, des tonnes de réponses de vous, peut-être que de ne pas suivre afin que je puisse voir les tweets de mes amis, vous défilez beaucoup."
0,Notre canard et notre poulet prendront beaucoup de temps pour éclabousser
0,"Mettre des photos de vacances en ligne il y a quelques années. PC s'est écrasé, et maintenant j'oublie le nom du site."
0,j'ai besoin d'un câlin
0,"Pas sûr de ce qu'ils sont, seulement qu'ils sont pos. Autant que je le veux, je ne pense pas pouvoir échanger les actifs de l'entreprise, désolé, alors!"
0,Je déteste quand cela arrive...
0,"J'ai du mal à dire que dallas ne va pas apparaître, je dois dire que vous pensez que plus de spectacles utiliseront la musique du jeu. Mmm"
0,Ugh .... 92 degrés demain
0,"Où as-tu déménagé? Je pensais que vous étiez déjà dans sd. ?? Hmmm. Au hasard, tu m'as trouvé. Heureux de vous entendre bien."
0,"J'ai manqué mon ps3, il est hors de jeu wutcha jouer? Avez-vous collé le «sang sur le sable»?"
0,En sortant du terrain de travail!
0,La vie est cool. mais pas pour moi.
0,"Malheureusement, je n'ai jamais eu l'expérience de la cigarette post coitus avant, et maintenant je ne le ferai jamais."
0,J'ai eu une belle journée. Dommage que la pluie arrive demain à 5h du matin
0,"Dommage, je ne serai pas sur le terrain, j'ai perdu mon emploi et je ne peux même pas payer mon compte de téléphone lmao aw shucks"
0,Retournez à l'école demain
0,"Mo emplois, pas d'argent. Comment, dans l'enfer, le salaire minimum est-il 4 f'n palourdes par heure?"
0,Pas éternellement ... à bientôt!
0,"Je suis d'accord, j'ai vu la baleine échouée toute la journée aujourd'hui."
0,"Oh! Haha ... mec, je ne les regarde pas vraiment à moins que quelqu'un ne dise que je vous ai ajouté. Désolé je suis si terrible à ce sujet. J'ai besoin d'un pop-up!"
0,Je suis sûr que vous avez raison ... j'ai besoin de commencer à travailler avec vous et le nikster ... ou au moins jaré!
0,Je déteste vraiment la façon dont les gens dissent mes groupes! La trace n'est manifestement pas moche!
0,"La tenue de gymnastique était aujourd'hui: puma singulet, shorts adidas ....... et les chaussettes noires et les chaussures en cuir, de la chance, ne se sont pas heurtées à des filles mignonnes."
0,Pourquoi ne montreras-tu pas mon emplacement?
0,"Pas de pique-nique, mon téléphone sent comme des agrumes."
0,"Mon âne est sensible à de tels commentaires. Néanmoins, il aurait (et je serais heureux) de voir votre tasse le plus tôt possible. Le chargeur est toujours vide."
0,Pas de nouveau csi ce soir. Fml
0,Je pense que mes bras sont malades du tennis
0,Se demande pourquoi quelqu'un que vous aimez tellement peut vous rendre si mécontent dans une partie séparée. déprimé .
0,Dors bientôt ... je déteste tout de suite et je te vois demain pour la nuit.
0,"Je viens d'avoir votre newsletter, ces tarifs sont vraiment incroyables, dommage que j'ai déjà réservé et payé pour le mien."
0,Missin 'the Boo
0,moi aussi
0,Damn ... je n'ai pas de craie! Mon tableau est inutile
0,"A explosé dans la villa getty, mais déteste qu'elle ait eu un mal de gorge toute la journée. Ça empire aussi"
0,Hey vous ai manqué à la réunion mamère
0,"mon ventre fait mal. Je me demande si l'hypnose a quelque chose à voir avec ça? Si oui, ça marche, je l'ai, arrête de fumer !!!"
0,Pourquoi est-ce toujours le gros ?!
0,"Désolé bébé!! Ma famille m'énerve aussi. Heureusement, ils sont endormis en ce moment. Muahaha. *rire diabolique*"
0,J'aurais dû accorder plus d'attention lorsque nous avons couvert photoshop dans ma classe de conception de page Web en cours de préparation
0,Mardi mercredi! Ne sais pas ce que fait 2 !!
0,Pauvre cameron (les collines)
0,"Priez pour moi s'il vous plaît, l'ex menace de cacher ** à la fête de mes 1er anniversaires. Quel crétin. Et j'ai encore un mal de tête"
0,"Hmm, aimez-vous vraiment être avec lui? Si les problèmes sont trop constants, vous devriez penser davantage, trouver quelqu'un d'autre"
0,Strider est un petit chiot malade
0,"Donc rylee, grace ... wana va-t-il la fête de Steve ou non? Malheureusement depuis sa Pâques, je ne peux pas faire beaucoup mais ohh bien ..."
0,"Hey, j'ai effectivement gagné une de mes collines de brackets! Dommage que ce ne soit pas l'argent"
0,"Vous ne me suivez pas non plus, et je travaille pour vous!"
0,Une mauvaise nuit pour les équipes favorites: les astros et les spartans perdent. La nuit avec t.w. c'était bien.
0,Corps de calif du nord manquant. Une fille a trouvé: la police a retrouvé les restes d'une fille disparue au nord de la californie ...
0,"J'espère qu'ils augmenteront la capacité rapidement, hier a été une telle douleur. A obtenu la baleine échouée +15 fois en 2 heures ...."
0,Derrière mes cours pour le travail
0,"En regardant ""house"" quot;"
0,Souvenez-vous de ma jambe bum? Frappe cette fois c'est sérieux
0,"Cool, je le ferai. Ils sont toutes sortes de plaintes à propos de ce portable en ligne sur la surchauffe, mais aucun rappel"
0,Emily sera ravi quand maman est formée à son nouveau travail. Elle lui manque.
0,Préfère-t-il que la première partie envoie de mauvais messages que la troisième partie envoie des années mixtes sophmore encore une fois?
0,C'est surévalué
0,je connais! Je l'ai entendu cet après-midi et je me suis posé la même chose. Moscou est tellement en retard
0,Couché au lit sans voix ...
0,Je suis tellement triste !!! Ils ont tué kutner sur la maison pourquoiyyyyyy
0,Désolé dis-leur mea culpa de moi et que je suis vraiment désolé.
0,"Cela n'a pas eu de sens pour moi, le suicide. Je refuse de croire que c'est en fait ce qui s'est passé."
0,J'espère que tu vas bien.
0,"Zut! Le grind est inspirant et tristement en même temps. Je ne veux pas que tu arrêtes bientôt, j'aime ce que tu fais! beaucoup d'amour"
0,"Oui, mais je sais que je n'ai pas la chance"
0,Pouah. Je ne peux pas dormir. Il est de 1h30.
0,Accroché aux croons. Je veux chanter. Ne peut pas. Suce.
0,"Aaw, je vous manque trop ... je pars à bh demain ""matin"" Je pense ... aww je veux aller à la plage avec tes filles !!"
0,Est énervé qu'il n'y a pas d'asba pour une station de radio.
0,"Mercredi, mon jour b n ne sais pas ce que font 2"
0,Je sais que ma vie a été retournée à l'envers quand je pensais juste à la tête que certains ramen semble bien.
0,"J'ai mal. Mon dos et mes côtés sont blessés. Pour ne pas mentionner, le pleurer est fait d'échec."
0,"Collation en fin de soirée, verre d'oj b / c je suis ""vers le bas avec la maladie"", puis retourne dormir ... ugh je déteste tomber malade ..."
0,Mais ... mais ... mais ... je ne suis pas un grand fan sur camilla belle
0,"Wah je ne peux pas voir le clip, doivent être les filtres de travail el-stupido. Je ne peux pas attendre jusqu'à ce que je reçois un puter. Quelque chose d'autre 2 blâme ex 4. il a brisé le mien"
0,Cette semaine semble avoir plus de temps et de long en termes de combien je dois faire ... et combien je vais réellement finir
0,j'ai très froid
0,Ehhh pas. Le temps va prendre un tour pour la moche demain
0,"Haha est tellement cooooold dans le d! Et non, mais vous devriez toujours aller au spectacle. Ils font des choses incroyables"
0,En espérant que les grondements du ventre disparaissent bientôt
0,"Non, pas de préavis. Ils m'ont dit que je travaillerais demain, puis j'ai appelé l'agence pour faire un suivi et ils ont dit que c'était fini."
0,Presque au coucher
0,"Tu me manques mon bébé ... mais tant que tu es vivante, je suis content ... yawwwnn .. je suis fatigué mon amour imma essaie de dormir, j'espère que tu as eu un début"
0,Agh ... neige !!!
0,Je manque les pouvoirs de kenny
0,"Je vous remercie d'avoir laissé les gens savoir, mais maintenant, je suis triste que le message direct que j'ai reçu ne soit pas vraiment de bridget"
0,... et l'Inde a manqué sa 100ème victoire d'épreuve n 10ème victoire consécutive sans perte.
0,Je suppose que c'est un non.
0,"Malheureusement, va au lit."
